class_id,roman,phonetic,category
a,a,a,vowel
aa,aa,aa,vowel
ah,ah,ah,vowel
ai,ai,ai,vowel
am,am,am,vowel
au,au,au,vowel
ba,ba,ba,consonant
bha,bha,bha,consonant
ca,ca,cha,consonant
cha,cha,chha,consonant
da,da,da,consonant
dda,dda,dda,consonant
ddha,ddha,ddha,consonant
dha,dha,dha,consonant
e,e,e,vowel
eight,eight,aath,digit
five,five,panch,digit
four,four,char,digit
ga,ga,ga,consonant
gha,gha,gha,consonant
gyan,gyan,gya,consonant
ha,ha,ha,consonant
i,i,i,vowel
ii,ii,ii,vowel
ja,ja,ja,consonant
jha,jha,jha,consonant
ka,ka,ka,consonant
kha,kha,kha,consonant
ksa,ksa,ksha,consonant
la,la,la,consonant
lu,lu,lu,vowel
luu,luu,luu,vowel
ma,ma,ma,consonant
na,na,na,consonant
nine,nine,nau,digit
nna,nna,nna,consonant
nnna,nnna,nga,consonant
nya,nya,nya,consonant
o,o,o,vowel
one,one,eka,digit
pa,pa,pa,consonant
pha,pha,pha,consonant
ra,ra,ra,consonant
ri,ri,ri,vowel
rii,rii,rii,vowel
sa,sa,sa,consonant
saa,saa,sha,consonant
seven,seven,saat,digit
sha,sha,sha,consonant
six,six,chha,digit
ta,ta,ta,consonant
tha,tha,tha,consonant
three,three,tin,digit
tra,tra,tra,consonant
tta,tta,tta,consonant
ttha,ttha,ttha,consonant
two,two,dui,digit
u,u,u,vowel
uu,uu,uu,vowel
wo,wo,wa,consonant
ya,ya,ya,consonant
zero,zero,sunya,digit
